MMX,"Malmo (Sturup)","Suède"
MMA,"Malmo","Suède"
MLA,"Malte (Luqa)","Malta"
MGA,"Managua (A. Sandino)","Nicaragua"
WVK,"Manakara","Madagascar"
WMR,"Mananara","Madagascar"
MAO,"Manaus (Eduardo Gomes)","Brésil"
MAN,"Manchester (Ringway Int.)","Angleterre"
XXB,"Manchester (Woodford)","Angleterre"
MDL,"Mandalay","Myanmar"
SGL,"Manila","Philippines"
MNL,"Manille (Ninoy Aquino)","Philippines"
MPM,"Maputo","Mozambique"
MDQ,"Mar del Plata","Argentine"
MRX,"Margarita Island","Venezuela"
GBJ,"Marie Galante","Guadeloupe"
RAK,"Marrakech (Menara)","Maroc"
MRS,"Marseille (Marignane)","France"
MSU,"Maseru (Moshoeshoe)","Lesotho"
MHD,"Mashad","Iran"
MSW,"Massawa","Erythrée"
AMI,"Mataram (Selaparang)","Indonésie"
MOF,"Maumere","Indonésie"
MUB,"Maun","Botswana"
MES,"Medan (Polonia)","Indonésie"
MEK,"Meknes","Maroc"
MEB,"Melbourne (Essendon)","Australie"
MEL,"Melbourne (Tullamarine)","Australie"
MDZ,"Mendoza (El Plumerillo)","Argentine"
MID,"Merida (M. C. Rejon)","Mexique"
MRD,"Merida","Venezuela"
MZM,"Metz (Frescaty)","France"
ETZ,"Metz/Nancy (Lorraine)","France"
VXX,"Mexico City (Sertel)","Mexique"
MEX,"Mexico City","(Benito Juarez) ,Mexique"
TNT,"Miami (Dade Collier)","USA"
TMB,"Miami (Kendall Tamiami)","USA"
OPF,"Miami (Opa Locka Airport)","USA"
MIA,"Miami International Airport","USA"
LIN,"Milan (Linate)","Italie"
MXP,"Milan (Malpensa)","Italie"
MIL,"Milan (Metropolitan Area)","Italie"
SWK,"Milan (Segrate)","Italie"
YLP,"Mingan","Canada"
MSP,"Minneapolis/St. Paul","USA"
MSQ,"Minsk (Loshitsa)","Belarusse"
NWA,"Moheli","Comores"
MBA,"Mombasa (Moi Internat.)","Kenya"
MIR,"Monastir (Skanes)","Tunisie"
ROB,"Monrovia (Roberts Field)","Liberia"
MLW,"Monrovia (Spriggs Payne)","Liberia"
MBJ,"Montego Bay (Sangster)","Jamaique"
NTR,"Monterrey (Aeropuerto Norte)","Mexique"
MTY,"Monterrey (M. Escobedo)","Mexique"
MVD,"Montevideo (Carrasco)","Uruguay"
MPL,"Montpellier (Méditeranée)","France"
YMX,"Montréal (Mirabel internat.)","Canada"
YUL,"Montréal (P. E. Trudeau)","Canada"
YMQ,"Montréal (région métropolitaine)","Canada"
YHU,"Montreal (St.Hubert)","Canada"
MZI,"Mopti (Barbe)","Mali"
HAH,"Moroni (Hahaya)","Comores"
YVA,"Moroni (Hahaya/Iconi)","Comores"
SVO,"Moscou (Cheremetievo 2)","Russie"
MOW,"Moscou (Metropolitan Area)","Russie"
BKA,"Moscow (Bykovo)","Russie"
DME,"Moscow (Domodemovo)","Russie"
VKO,"Moscow (Vnukovo)","Russie"
GTN,"Mount Cook (Glentan)","Nouvelle Zélande"
MPN,"Mount Pleasant","Falklands"
MUC,"Munich (F. J. Strauss)","Allemagne"
MSR,"Munster (Greven)","Allemagne"
MJV,"Murcie (San Javier)","Espagne"
MMK,"Murmansk","Russie"
MCT,"Muscat (Seeb)","Oman"
JMK,"Mykonos","Grèce"
